City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,gaigeturi,33.4644,126.3183,16.03,63,75,10.8,KR,1682233340
287,willows,39.5243,-122.1936,18.18,70,5,1.12,US,1682233343
288,trujillo,-8.116,-79.03,22.98,78,79,2.06,PE,1682233241
289,codrington,-38.2667,141.9667,16.23,71,0,4.67,AU,1682233348
290,sungai penuh,-2.0833,101.3833,24.47,83,100,0.76,ID,1682233351
291,francisco sa,-16.4758,-43.4883,20.07,81,96,3.66,BR,1682233354
292,bandarbeyla,9.4942,50.8122,29.59,55,100,2.74,SO,1682233356
293,buenaventura,3.8801,-77.0312,23.62,92,100,0.75,CO,1682233201
294,tangalle,6.024,80.7911,34.09,74,100,4.57,LK,1682233361
295,alofi,-19.0595,-169.9187,23.94,83,50,1.03,NU,1682233364
296,vale da amoreira,39.0697,-7.6985,10.93,89,0,0.91,PT,1682233367
297,bridgewater,44.3835,-64.5155,4.82,88,95,2.06,CA,1682232921
298,iskateley,67.6803,53.1512,-4.42,85,13,7.62,RU,1682233371
299,concepcion del oro,24.6333,-101.4167,14.79,64,1,2.52,MX,1682233374
300,huarmey,-10.0681,-78.1522,24.33,84,8,3.56,PE,1682233253
301,pervomayskoye,43.919,46.7102,15.45,62,100,4.48,RU,1682233379
302,saryaghash,41.45,69.1667,26.96,16,30,2.39,KZ,1682233381
303,okakarara,-20.5833,17.4333,22.47,49,14,1.2,NA,1682233384
304,ilorin,8.5,4.55,26.2,77,39,5.72,NG,1682233387
305,szigetvar,46.0486,17.8055,14.53,60,14,3.12,HU,1682233389
306,valentin gomez farias,28.2167,-106.5833,15.93,12,0,5.71,MX,1682233392
307,northam,51.0333,-4.2167,7.44,95,99,1.82,GB,1682233395
308,berdigestyakh,62.0989,126.6992,-0.22,82,28,4.7,RU,1682233398
309,ust-nera,64.5667,143.2,-0.48,79,100,2.87,RU,1682233400
310,dobroye,52.8678,39.8109,14.31,45,12,2.38,RU,1682233403
311,prainha,-1.8,-53.48,22.54,99,100,1.0,BR,1682233406
312,liberal,37.0431,-100.921,4.58,56,75,3.09,US,1682233408
313,ternate,0.8,127.4,29.38,69,96,2.65,ID,1682233411
314,kimberley,-28.7323,24.7623,17.83,17,0,1.54,ZA,1682233414
315,egilsstadir,65.2653,-14.3948,-7.05,86,20,1.54,IS,1682233396
316,kollo,13.3043,2.339,29.24,7,1,2.98,NE,1682233419
317,palmer,42.1584,-72.3287,11.8,84,100,3.6,US,1682233421
318,necocli,8.4234,-76.786,24.37,87,100,1.12,CO,1682233424
319,prince rupert,54.3161,-130.3201,7.83,86,100,7.72,CA,1682233224
320,uporovo,56.3109,66.2693,15.39,40,70,4.37,RU,1682233429
321,sakiet sidi youssef,36.2229,8.3555,6.76,43,100,1.68,TN,1682233431
322,la'ie,21.6477,-157.9253,25.56,78,42,2.24,US,1682233434
323,baranovichi,53.1327,26.0139,13.11,57,100,2.32,BY,1682233436
324,fisterra,42.9049,-9.2629,15.57,93,100,6.66,ES,1682233438
325,montalvo,-1.8,-79.3333,23.67,96,100,0.55,EC,1682233441
326,tulagi,-9.0996,160.1476,28.96,72,47,2.89,SB,1682233443
327,kalibo (poblacion),11.7061,122.3644,29.54,66,38,3.52,PH,1682233446
328,greenville,35.6127,-77.3663,14.01,96,0,0.45,US,1682233432
329,auki,-8.7676,160.7034,27.85,77,28,0.33,SB,1682233451
330,namsos,64.4662,11.4957,2.03,55,100,2.57,NO,1682233454
331,lagoa,39.05,-27.9833,15.72,94,100,5.06,PT,1682233393
332,yelizovo,53.1873,158.3805,5.08,65,75,3.13,RU,1682233458
333,veraval,20.9,70.3667,30.98,49,25,5.51,IN,1682233461
334,roleystone,-32.1167,116.0667,26.62,35,0,5.66,AU,1682233463
335,puerto san jose,13.9256,-90.8244,27.42,78,6,4.37,GT,1682233466
336,saraykent,39.6936,35.5111,11.76,61,77,3.81,TR,1682233468
337,raja,8.4596,25.678,28.88,54,100,4.69,SS,1682232925
338,lae,-6.7221,146.9847,28.1,72,25,2.91,PG,1682233473
339,castillos,-34.1667,-53.8333,15.89,94,100,1.49,UY,1682233476
340,ciudad lazaro cardenas,17.9583,-102.2,24.21,82,91,0.64,MX,1682233478
341,port macquarie,-31.4333,152.9167,20.5,78,53,5.51,AU,1682233480
342,daru,-9.0763,143.2092,27.79,86,58,4.95,PG,1682233483
343,the pas,53.8251,-101.2541,-1.99,54,0,1.54,CA,1682233230
344,dorchester,33.1002,-80.3831,16.12,75,0,0.0,US,1682233488
345,zeya,53.75,127.2667,4.73,48,100,3.93,RU,1682233491
346,villarrica,-25.75,-56.4333,13.47,75,0,0.76,PY,1682233494
347,port de pollenca,39.9075,3.0814,18.77,81,0,0.65,ES,1682233497
348,dubbo,-32.25,148.6167,23.07,43,40,7.2,AU,1682233499
349,mount pearl,47.5166,-52.7813,3.03,98,100,8.23,CA,1682233230
350,peterhead,57.5058,-1.7981,7.22,95,100,8.94,GB,1682233504
351,richards bay,-28.783,32.0377,23.27,67,5,3.97,ZA,1682233507
352,celestun,20.8667,-90.4,25.66,74,80,5.62,MX,1682233509
353,woolgoolga,-30.1106,153.2007,18.93,59,69,8.43,AU,1682233512
354,raduzhny,62.0961,77.475,2.99,96,100,2.62,RU,1682233515
355,laguna,38.421,-121.4238,18.55,74,0,1.54,US,1682233517
356,smithers,54.7804,-127.1743,4.18,100,100,0.0,CA,1682233460
357,leszno,51.8403,16.5749,16.69,67,68,4.77,PL,1682233522
358,peace river,56.2501,-117.286,6.17,94,100,1.03,CA,1682233525
359,taltal,-25.4,-70.4833,16.94,84,11,0.93,CL,1682233314
360,tolanaro,-25.0319,46.9987,28.04,69,20,5.14,MG,1682233530
361,nova vicosa,-17.8919,-39.3719,24.19,83,89,7.14,BR,1682233533
362,francistown,-21.17,27.5079,26.02,30,89,0.85,BW,1682233536
363,barakani,-12.1356,44.4317,28.58,70,22,1.11,KM,1682233538
